,댓글
156,@w0_0nee77 오빠 폰 잘 깨자나... 폰 바꾸면 소중히 다뤄ㅠ
157,@yx_xxni 조심햐 ..
158,@yurimi._.v 이거
159,@dla942 이고바
160,@yun___ch 홀???????????
161,@030_s2_ssong 흐에에👀
162,@leekeunhyup
163,@ux._.xwon 조심히 쓰렴...
164,@oooeee__k__a__ii 개지랄이네 이제 아주 ??...
165,@su_min__5 ㄷ ㄷ
166,@take_a_bowoo_ 케이스 잘껴야대...
167,@han_soyeon__ 에바네요
168,"@daseul.___.02 미쳤다 ,,"
169,@yee_on_e
170,@ozslover 조심해라 @wilovuzs 조심해라
171,부품이 없다니..
172,@chaaaaan_i 이래서 갤럭시
173,@zzingakim 조심조심!
174,@gaeunii__ 개롱싀.. 이게 무슨..ㅎ
175,@hyun_ths 뭐야뭐야
176,@d0heemood 소중히 다뤄야겠다... 나같은 칠칠이는 무조건 패스..하 갖고팟는데
177,@v_ely__ 돌아이네
178,@xarkxeungxee @simple_is_the_best____
179,@jinjinjin02
180,@poesnim 헉 조심해여겠다!!
181,@collegian_closet ?
182,@n__naa_a_ 조시미 써
183,@neul.__.v
184,@yk1a1a
185,@yejun._.p 예?
186,@zzinzzin_02
187,@marbonocibarnoma
188,@ryn_9367
189,@ddindy_lalla @chae_yya
190,@94.se_eun 미친...?
191,@jong._.k 우겔겔겔
192,@leesngyn 나걍 안바꿀래 폰
193,@_hyeongja_ ㅋ
194,@janghanssem
195,@seung_g_ 이게 사실이면 우짜누ㅡㅡㅋㅋㅋㅋㅋㅋ 애지중지써야지..후
196,@mini__yeon ㅋㅋㅋㅋㅋㅋ
197,@kk._.me
198,@33566_ 쥬낸 배짱도이 ㅋㅋ
199,@hayun_mom_yj 사디말자
200,@_jo__eun ?...ㅋㅋㅋㅋㅋㅋ
201,@hi__hiso ㅎ
202,@kim.cham ㅋ
203,@pm_9_39 오우 가지가지한다
204,@sangwoo_kim__ 이거였어ㅠ
205,@kang._.ji__
206,@kk._.delay ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ 아 웃겨죽겠다 조심해서 써라잉
207,@jongsi_1024
208,@ki_kiiii__ 이거 봐 기창
209,@sun_motty 1년은 안깨지도록 버텨야해
210,@yoonchaehong 😭😭
211,@kwangwonindaeyo
212,@dubunmomonboss wow
213,@minje.kang 오잉
214,@3eq.j
215,@eun_mi._ 잉?
216,@jiyeong_only 케이스낍시다ㅜㅜㅜㅜㅜ
217,@chae_eun070724 닌 사면 안되것다
218,@ssong_hai 애지중지 쓰라구!
219,@mjc0105
220,@_r0_oj_ ....? 그렇대...?
221,@zany_96.61 무기한기다려야한데 진짠가
222,@west__hyeonny 와 이건 아니다
223,@minxxhyo
224,@baeee.kxx
225,@leeyumi9 역시 안사길 잘했어 ..
226,@dmsrud96k ㅎㄷㄷ
227,@_menaming @kanginsic 깨먹지마시오
228,@maknaenge 우예 ..
229,@soahmz ...? So bad if true. Still don't get why ppl buy iPhone.. lol
230,삼성 알바하냐
231,@_sangjik_lee 이게 무슨일?
232,@seung_euniiii
233,@aegu_mmy 에고머니..
234,@myaestheticm00d
235,@haem_daily 혜민아잘생각해보구 사야겟다....
236,@lkyyoon
237,거참 징징거리네 이라면서 죽기살기로 아이폰사는이유는머임? 나도 아이폰이네 ㅆㅂ ... @yongki_18 @__yeob2__
238,@cherrybear601
239,@hyejinny_
240,@minjin080324
241,@01._.song 조심....해라....
242,@rlamsp__ 엥? 찐인가?
243,@_hyungladys
244,@kwon_oh_jun 흠
245,@h_ayj ㅋㅋㅋㅋ미안
246,@sxnghx._.oo 클났노 간수잘해라ㅋㅋㅋㅋ
247,@_sole.s ㄷ ㄷ
248,@yunmiyeon1
249,@bong._.gun
250,@mang_z_0907 조심해
251,@hyexxgee @suuu2n 진짜 조심해라
252,@lj_1282 수고..
253,@_94.03.17_ 우리 깨트리지말쟈😭
254,@shin_yull97 ..?
255,@_zeehye__ 어머머머머
256,@jinny_in_hutsori 조심해서 살자••
257,@p_h_w00._
258,@yeeun02210 조심히 쓰쟈..
259,@dongha_shn 이거어
260,@sssimd @ssooooovely
261,@dlswjdsla 안된다 12
262,@ssssssjjjjjjhhhhhh
263,@hello.im.chaeeun @gimkyumin 미친게 맞는 것 같지?
264,@kjaeik_ 헐 조심해 ㅠ
265,@10_14.k @h__.vely @99jee_h @e__tony @hey_mini99 이게 진짜 무슨 말이야 .. ?
266,@rryeoni 헐
267,@so_ong119 ..?.. 11ㄱ..?
268,@euneforme 당분간 조심히 써여겠구만 그래!!?
269,@silvpil
270,@song.1_0 12안기다리고 11프로 사길잘했다!
271,@seohwa0205
272,@gg_mlml 헐
273,@zzasiya
274,@on___eul 😭
275,@ho_05_ye 쌉오바;;
276,@xwanina ㅋㅅㅋㅅㅋㅅㄱㅋㅅㅋ
277,@doool2_ 오빤 사지마라
278,@dorothy_naun 조심해라잉 진짜 ㅋㅋ
279,@jae_eeun_ 오....
280,@na__kyo 더고민점....
281,@qkrtkddn_ 조심조심
282,@jae.h_k29
283,@berry_cheese_smile 조심
284,@mi_nwu 호잉..?
285,@_h_ahsoo 이거 어떡해?..?
286,@ya_soyoung_a
287,@vesela_marina 그냥 더 버텨야겠다
288,@peppa__ju 에~?
289,ㄹㅈㄷ.. 삼성으로 바꾸길 잘 했네
290,@leehyozu ㅋ
291,@hy_19_p 조심 또 조심
292,@junk_5
293,@yeeun__k ㅅㄱ...
294,@jang_eun_seong
295,@6_1.4
296,@ddddi_hye 됴심😭
297,@mof__r
298,@sh1_1_2_3 ..? 조심 또 조심..
299,@songhee_513 ??? 자꾸만 나한테 ㅇ왜 이래
300,@bani__168 아이폰 이번거 별로라고 한 이유
301,@_9_won_9_ 관리 잘해라
302,@03364nm 너 완전 조심히 써야대
303,@www_ji92 깨지면 끝장
304,@pandaaaroh 조심하시요~
305,@meritz_dh 안바꾸기 잘햇나아 ??? 🤭
306,@choihyun1113
307,@strong_er_ ??
308,@reyoftroy 위로가 되?
309,@mj__o_o_v 민지야 너 11 사기를 잘했다
310,@mijini_0729 미지아인갑다....
311,@_j1wxn_ 삼성 갈아타길잘했다
312,@j_younjiii 진쫘....? 나아이폰프론데....
313,@kueunji___o3 ㅋㅋㅋㅋㅋㅋㅋ 아이폰 장사 이따구로 하네 우리 어쩌냐
314,@nuul_b 관리잘해야해!
315,@naaaaa____y 목걸이걸어
316,@s___emiii 조심히 사용
317,@_169.x_ 조심해
318,@jeonghuneeeeee ????
319,@rorororororol 쌈무 왔나연
320,@nanzzang2
321,@m__inis
322,"그리고 그레이 어쩌구 색 삿는데 녹색 폰 와서 불량이라고 교환해달라 햇는데 색은 다르지만 불량이 아니라 교환 못해준다 햇다며 ,, 그거보고 12프로 사려다가 말앗음 .. 지금 11프로 쓰는데 걍 이거 쓰다 고장나면 삼성으로 가는게 나을 듯 .. 좋다 좋다 하니 진짜 한국 소비자들을 등신으로 봄 .."
323,@leehyeon.ju 오엠쥐?
324,@97_seong_w 갤럭시 확정
325,@ch4nhee_
326,@jjang_ddo_ggab_ssa 미쳣나방
327,기기~~ 일단 내년까지 기다렸다 사야댐
328,@bngttjk 망햇다
329,@nolaf_523 조심해••
330,@__sohwa
331,@good._.jin 아니 이번에 12 골때림 그냥
332,@kkang0ss
333,@c_minhyung
334,@ha_bang411
335,@kowooni44 주문취소 해야하나......
336,"@iyeji540 조심히자,,"
337,@kyunga1760
338,@e_un_i 조심해
339,@hojin2352 ㅋㅋㅋㅋㅋ 안바꾼거 신의 한수
340,@iron960201 ?
341,"음. 바꿀때 되어서 바꿀가 했는데 부품이 없으면 못바꿈?
갤럭시로 갈아타야하나? ㅇㅏ님 한단계 밑으로 구형으로 가야것네"
342,@1__020 @junghye__94
343,@abcdahyun
344,내가 호구지..
345,@eun_z2_
346,@woon.07
347,예약도 아직 안왔는데 부품이 있을까?
348,@ddu_hyonni
349,"@llyxnz 언냐 조심 또 조심.,.."
350,아이폰12노답이네
351,@e__re_._
352,@imyin_zhu
353,@mseeeeeeeemo 진짜였어
354,@mariogamario
