,댓글
188,대한민국 만세~~~~~~~~~
189,@d0ngure 감사하다고 해봐
190,문재인정부의 퇴진을 기원합니다♡ 피지컬갤러리 파이팅!!
191,맹호!
192,아 국군의날에 원래 우리 쉬는데 아 추석이 껴버리네 아 휴일 하루 손해봤다..
193,감사합니다 모든 군인 오빠 언니들❤️
194,🙏
195,멋집니다 👍
196,국가를 위해 헌신하는 군인 여러분의 노고에 감사함을 전하고 싶고 김계란님 에게도 항상 좋고 재밌는 영상을 만들어 주셔서 감사하다고 전하고 싶습니다. 항상 화이팅 하시길 빕니다!!🔥🔥
197,👏
198,계란님 국군의날 기념으로 군생활 이야기 컨텐츠로 듣고싶습니다 보안상 썰을 풀지 못하면 어쩔수없지만 그냥 군생활과 전역후 계란짐까지 그런 소소한 이야기
199,국군장병 여러분 감사합니다👍👍
200,진군!
201,수고하십니다
202,계란형...15분ㅇ뒤에 올라오내여... 부대안에서 기다리고있습니다
203,👍👍👍👍👍👍
204,@itsjaewonstory
205,8신데 왜 안뜨노 ㅅㅂㄹㅇ
206,@https.junnn 감사합니다 형
207,국군의날 국가를위해 지금도 애쓰시는분들 감사합니다
208,@j_minjae_rokaf 너는 군한테 오히려 감사해야하지않냐
209,👍🏻
210,국군의날!!! 하....계란님 1편 너무재밌어서 코피 흘렸어요... 또 봐야지..... 좋은 방송 만들어주셔서 감사합니다....
211,🙏
212,🙏
213,@haaaaaa_do 너가 왜 좋아요누름..
214,필승🙏 항상 감사드립니다
215,국군 장병 여러분들 덕에 발뻗고 편히 잘수가 있어 너무 감사합니다 앞으로 몸 조심히 파이팅입니다 🙏 💪^^
216,감사합니다
217,고맙습니다 더 열심히 지키겠습니다👍
218,🙏
219,👏🏻👏🏻👏🏻 여러 소식들에 묻혔지만 그래도 상기시켜주고 응원하는 여러 댓글에 동참해봅니다. 🙏🏻 만기전역한 일인으로서 항상 군인들의 희생을 잊지않습니다. 👍 모두 건강히 만기전역해서 가족품으로 돌아가십시오.
220,감사합니다 군인분들
221,계란형..사랑합니다.. 시간이 안가네요
222,정부도 못하는걸 김계란이..해냅니다👍👍
223,@j.h_o__k 고생한다 군바리쉑!!
224,@suwol_y @bum_su___ 🙏
225,@l_jy12 👏
226,국군의 날! 국방부장관 정신좀 차려라.
227,@naval_officer_2022
228,👏😍😍
229,10 월1일 제생일이에여
230,@dl__gmlwo 이런거 좋아요 누르지 말고 나한테 감사하다고 말해라
231,마산 합포구 출신 아닌가요?
232,님도😍👍👍
233,👏
234,김계란 파이팅
235,@sseheekim 계란쨩 ㅠㅠㅜ
236,계란님 힘내세요 가짜사나이 진짜 재밌게 보고 있었는데 못보게 되서 너무 아쉽네요.. 이럴때일수록 더 약해지지 마시고 나중에 악플러들 보란듯이 다시 돌아와주세요 저흰 계속 기다리고 있겠습니다 절대 자책하지 마세요 계란님은 머머리인거빼고는 완벽하신분이에요
237,힘 내세요 계란님 ㅜ
238,계란님 화이팅..!!!!
239,항상 응원합니다 저희 동생도 직업군인 인데 나라를 지킨다는것이 얼마나 중요한일인지
240,진짜 악플놈들 왜 사는건지
241,계란님 응원 하는 사람이 더 많습니다! ❤️
242,알고 있습니다 요즘 가짜 사나이 잘보고있습니다 다이겨 내실꺼라 믿습니다 항상건강한 힘얻고갑니다
243,"계란형 형 자신을 잃지마. 내가 운동을 시작한 계기도 형의 멋짐이고, 즐기게 된 것도 형의 응원 덕분이었어. 이런 상황을 겪으며 얼마나 힘들지 나는 상상도 못할거야 하지만 형은 꼭 이겨낼수 있어 계란형이잖아!! 항상 힘내!! 난 완전 형 편이고 우리 피지컬갤러리 가족 모두의 편이니깐!"
244,김계란 화이팅!!!!!!!!!!!!!!!!!@!!🔥🔥🔥🔥🔥🔥
245,ㅠㅠㅠㅠ
246,계란형 ㅜ
247,"계란님... 항상 응원합니다 ㅠ 사랑합니다!! 다 좋게 풀릴겁니다 꼭 건강히 돌아와 주세요.

이기적인 사람들한테 절대 지지 말고 해왔던것처럼 이겨낼거라고 믿습니다!

비록 구독자중 한명이지만 응원하겠습니다. 화이팅!!"
248,죽음은 안돼요
249,형 힘내
250,"계라니.. 힘내... 🧡,🧡,,,"
251,잘 생각했다 군바리들은 그냥 나대지마라
252,계란후라이 한반 추가요
253,계란형 파이팅
254,요즘 힘든일 많으실텐데 그래도 응원합니다. 화이팅!
255,계라니 ㅠㅠㅠㅠ
256,말도 안된다...정말 그자식 하나 떄문에 이떄까지 노력했던게 물거품이 된다는게.
257,힘내요 계란씽..🥚
258,힘내요 형
259,@d_obby2 좋나요 눌렀넹ㅋㅋㅋㅋ
260,힘내세요 계란님
261,빡저씨가 유명하지 않을 때부터 발목 재활 때문에 피갤을 구독했어요. 가짜사나이는 왜인지 한 번도 못 봐서 나중에 몰아보려고 했는데 ㅜㅡㅜ 전 빡저씨가 헬스장에서 쇠똥구리하고 짐볼에서 바벨 들고 할 때 젤 좋았어요.😍 늘 무엇을 하시든 응원할게요. 다치지 마세요. 그리고 발목 영상 기다립니다...ㅋ😅
262,응원하는 한 사람 더 있다고 알리고 싶어서 댓글 남겨요❤️ 덕분에 재미있게 시청했어요❤️ ㅠㅠ
263,건강한 모습으로 꼭 돌아와주세요... 오래걸려도 괜찮으니까 꼭이요!!
264,계란님 사ㅏ랑해용♥️♥💕💗😍
265,이게 무슨일이래요ㅠㅠ😢😢😢😢
266,"저는요... 김계란님 정말로 응원합니다!! 사건들이 생긴부분에 대해선 어쩔수 없지만, 이것을 토대로 전체 새롭게 가짜사나이 - 반성편을 만들어서 방영을 하는게 어떨까 싶은 생각이 듭니다. 그냥 저는 김계란님이 하신것을 보고 정말로 항상 마음속으로 응원하고 열혈한 시청을 하면서 요즘 받은 스트레스를 확날려버리는 그런 느낌이거든요... 얼른 복귀를 해주셔요 ㅠㅠ"
267,"계란님,,,😢 기다릴게요 ㅠㅠ 끝까지 응원할게요😭"
268,돌아와요 김계란😢
269,계란님 힘내세요
270,🤮🤮🤮🤢🤢🤢🤮🤮🤮
271,마음도 맨탈도 건강해져서 오셔야해요 기다릴껍니다!
272,계란님 지금쯤 많이 힘드실텐데 잠시 자신을 위해 휴식하는 시간 많이 가지고 정신적으로 꼭 극복하시길 빌어요..! 물론 udt정신으로 포기란 없잖아요😊 김계란님 덕분에 저도 인생에 있어서 포기하지 말자 라는 모토 가지고 열심히 살아가고 있어요. 푹 쉬다가 건강하게 돌아와주세요 기다릴게요❤️
273,김계란은 살아있다~~~~~화이팅~~~~~~욕하는것들 다 주옥까라그래 김계란은 살아있다👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍타조알이라 크고 강하다 터지지도 않는다 🥚화이팅👍
274,계란이형 돌아와요 ㅠㅠ
275,빡빡이아저씨 힘내세요 ㅠㅠ🔥
276,형 힘내세요! 언제나 형 영상 보면서 자극 받고 있습니다. 건강한 몸과 마음 형이 추구하는 방향은 언제나 저의 귀감이 되고 있어요.
277,화이팅
278,응원해주셔서 감사합니다
279,ㅠㅠㅠ 계란씨 푹쉬고 꼭 돌아와주세요ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ😢😢
