,댓글
147,@hwan_8_ 오마갓.........
148,@hwan_8_ 오마갓.........
149,@hwan_8_ 오마갓.........
150,@hwan_8_ 오마갓.........
151,@hwan_8_ 오마갓.........
152,@hwan_8_ 오마갓.........
153,@hwan_8_ 오마갓.........
154,@hwan_8_ 오마갓.........
155,@hwan_8_ 오마갓.........
156,@hwan_8_ 오마갓.........
157,@hwan_8_ 오마갓.........
158,@hwan_8_ 오마갓.........
159,@hwan_8_ 오마갓.........
160,@hwan_8_ 오마갓.........
161,@hwan_8_ 오마갓.........
162,오우... 세라핀 삭제될 것 같은데?
163,와 뭔 잡소리지 했는데 개소름 돋네 ㄷ
164,"나 같아도 고소할듯,, 존나 소름끼치는데;; 제정신 아닌거 같음,,"
165,피망쩌네 하고 봤는데 그냥 존똑인데...
166,무슨 게임인지는 모르겠지만 그냥 똑같이 만든거 같은데😂
167,@__tn5_5 이것바
168,@jinho3354 빨리빨리
169,@iiwii_wii
170,@ylj7851 빨리 봐봐
171,@hjun__seo 레전드..
172,@alex.ys95 소름이당..:(
173,@k1ng_s_h ㄷ ㄷ
174,@juno_bee_01 어어 너무 똑같은데
175,@___d._.om 와..
176,@d_do_chi 야 아니 이건 아니지 않냐
177,@ssm_k28
178,@klmsunyoung
179,@mola__life @i._.amaging
180,@hyeok_022
181,@kswen23 실화영?
182,@ej_shin_00 ㅓㅜㅑ
183,@_.___yunsung 윤성아 세라핀 없어지겠다야
184,@coolee_adonis 집착이야 뭐여
185,@sy_lynn36 아싸 세라핀캐 그럼 삭제되는건가?
186,@shdsk_0120 머노
187,@a_ahn7l6 @lsy_sinyoung 와우
188,@snwrug
189,@rainy_zzurk_0530 이고바
190,@heimish_momo .....?
191,@zezaely 똑같이 생겼긴하다 소름•ࡇ•
192,무슨 게임인지는 모르겠지만 그냥 똑같이 만든거 같은데😂
193,@q000p._.q 삼?
194,안됭 내 새라핀 ㅠ
195,삭제해 그럼 걍 ㅋㅋ
196,@hyeon_woo__00 너의 세라핀
197,@dawnofdec 오왕
198,@erinhan___ 아니 이건 또 뭐야
199,헐
200,별일이 다있네🙀
201,@attract_d_ 연이야 이것봥
202,@ssubarru
203,@dae.hy20n.k 소름
204,@wndw_hk
205,@egg_tagram 소나VS세라핀
206,@park_j_ha ㄷ ㄷ
207,@4_cubit
208,@abocardo12 문제가 많네
209,@jjoooooooni.k 별일이 다있댜
210,@jjooann_
211,@hyeu._.n 사라질 거 같다 세라핀 안녕..
212,@keep_swinging_jb 홀리
