,댓글
62,"저에 대한 조롱과 악성루머
-> 지들 발정나서 욕정채우겠다고 성희롱 다는 남자 악플러들
남자친구 사진과 알몸사진 유출로 악성루머와 ""조롱""을 받았다고 하는거 보면 백포 또 따였네 어쩌네 이런 성희롱 섞인 조롱과 악플들을 싸질러놨다는건데 어떻게 90퍼센트가 여자 악플러가 되냐ㅋㅋ 느그들이 싸질러놓은 똥 또 여자한테 책임전가하는건 국룰이다 그치? 성희롱이 훨씬 질 나쁜 악플들이고 하물며 그런 댓글 달면서 지들이 사람들도 죽이는 역겨운 악플러라는 인식이 없음?
악플러 대부분이 여성이라는 말도안되는 뇌피셜 싸지른 것들은 댓글 삭제가 안되고 이런 댓글만 삭제되는것도 웃기네ㅋㅋ 왜 신고함? 찔리긴 찔리나봐ㅋㅋ 신고누르는거보면ㅋㅋㅋ
지들이 찔려서 신고하는거보면 나쁜짓이란걸 알긴아나보네 제발 성적인 악플 좀 작작써라 드럽다"
63,그냥 그만두는게
64,오랜만에 함
65,그래도 살 사람은 무조건 사지ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
66,"이거 말고도 애플 여러모로 문제 많음; 새 제품에 기스, 흠집이 있어도 교환 안되고 비싼 제품 샀더니 액정 필름 하나 붙여주는 거 감당하기 싫어서 본사에서 절대 붙여주는 서비스하지 말라고 하질 않나 매번 새 제품만 무작정 내려고 하고 근데 그 제품들이 오류도 많고 이젠 하다하다 충전기도 구매해야하고 아주 그냥 고객을 돈으로만 보는 듯... 최근에 우연히 애플 측이 가장 무서워하는 것이 애플사의 결함을 인터넷에 올리는 소비자들이라는 걸 알았으니 자주 댓글 써야겠다!"
67,@hanchorit 갤럭시 흥해라~~~~
68,@hass_0n1y 12 발매하기 한달전 아이폰11pro산 내가 승자임 ㅋ
69,@mimm._.hi ㅋㅋㅋ 애플 시대는 지나 갔나보다 이제 ㅋㅋ
70,@sparkling.heehee 11 갔어야 했는데..
71,"@turtleking1sol 야 너 이래도 폰 갈아탈거야? 최악인데,,? 진짜 이래도 폰 바꿔야겠어? 어이가 없어서 진짜 ; 난 갤럭시랑 아이폰 둘중에 고르라면 앱등!^^!"
72,@chan_mi_0618 나 방금 결제했는데 이거 봤어..
73,@dbdudwv 👏👏👏
74,@gaeun_10.18 무조건 11이야
75,@imagine._.95 11하길 잘햇슈
76,@park_j.sol 안사길 잘했다
77,@jjjien__
78,@ny91.1127 호갱님 그렇다네요?
79,@aanyanjoo 우짜지?😢
80,@ddxanxl
81,@u________o_ww
82,@mnicsw @eeehay 😟
83,@k1m91eun
84,@yeopyeobi_ 조심조심
85,@banniyy 역시 12안바꾸길
86,@yes_min_ji 리얼 고밈이네
87,@yhs091599 조심해애 ㅠㅠ
88,@kim.sunghoon.7 갤럭시로갈까봐
89,지랄 쌈싸먹는소리하네
90,지랄도 풍년이다 진짜
91,중국은 전통이있긴하는건가?? 매번 다른나라 전통을 지들 전통이라하는데 전통이없어서 저러는건가싶넼ㅋㅋㅋ
92,쌈은 한 입에 쏙 넣어 먹는 건데...ㅠ
93,뭔 논란이에요 관심도 없는데
94,우리동네 전통 간식은 그럼 탕후루다 (근처에 탕후루 겁나 많이 팜^^)
95,"중국 운남에서 살았었는데,,, 상추에 고기랑 마늘 고추 올려서 쌈 싸먹은건 한식당에서 삼겹살 먹은 적 말고는 없었움..."
96,우리는 쌈을 싸서 한 입에 맛있게 우적우적 맛의 조화와 풍미를 느끼는 거고 저 사람이 주장하는 중국은 존나 맛 없어 보이게 깨작깨작 호호 불어서 야금야금 먹나보지...
97,"저 비꼬려는게 아니라 진짜 순수하게 궁금해서 그러는데, 중국에서 구글을 쓸 수 없다고 알고있는데 유튜브는 구글 꺼 아닌가요? 구글과 유튜브는 따로 봐서 중국에서 유튜브는 쓸 수 있는건가요??"
98,응꺼져 쌈은한입이다
99,중국이 중국했네 쪽팔리지도 않나?!
100,지랄 쌈 바를 춰라
101,얘네는 요즘 한국거 무조건 지네거라고 우기는게 트렌드인가. 한국거 중국거라고 하기만 하면 조회수 폭발 좋아요 수 난리 뭐 그런건가??
102,지랄이정말로 풍년
103,중국인 원래 생야채 안먹어요 ㅋㅋㅋ 쌈은 중국 전통음식이라면서 왜 조부모한테 쌈싸먹는 방법을 가르치지?
104,짜장들은 평생 농사만 짓는 농업국가로 살아야함😡😡😡😡 이것들이 잘살게 해줬더니 은혜도 모름.. 솔직히 중국이 지금의 경제대국이 된 이유가 1979년에 덩샤오핑이 개혁개방할때 중국어로 번역된 박정희의 새마을운동 관련 서적을 당간부들에 나눠주며 배우라고 지시함.... 결론 짱깨는 스스로 발전하거나 만든게 하나도 없다😡 하나 있구나 코로나ㅋㅋ
105,그냥 온지구가 자기들 전통이라고하지?
106,@cindydyk03 @ssosong_07 요즘 중국 와이러노...
107,@kim_nock_tea 이제 지긋지긋하다 1900년대 말 부터 중국은 세계 모든 국가 중에서 가장 타국에 피해 입힌게 많은 국가일듯
108,@ahhyuunn
109,@machobomb 힐링언니
110,@eunji660 @k.mj_02 이 사람꺼 봤었는데 이제 안 봐야ㅣㅇ!
111,@soo_ddi 얘 걔 아니냐 언니?
112,@taein3013
113,징역 3년밖에 안됨?
114,얼마나 무서웠을까..
115,강아지 주인도 돌려버려서 세탁기속에 썩혀버리자
116,경악을 금치 못하겠습니다.
117,ㅡㅡ 사람답게 살아라 제발
118,지는 목욕을 세탁기에서 하나보지?
119,머리가 빈건가
120,....?? 이거 한국이예요?
121,제발 똑같이 당하게 해주세요 제발
122,머리속에 뭐가들었길래....
123,똑같이 해주고 싶다 ㅁㅊ
124,너도 들어가서 좀 씻지그래
125,세탁기 들어가라. 넌 건조까지 돌려줄게...
126,@khl120319 저사람도 초대형 세탁기에 넣고 한번 돌려야 된다ㅡㅡ
127,@k_h_0728 @juah_070504 미쳤나봐...얼마나 무서웠을까...얘도 세탁기에 빠져서 몇바퀴 돌아봐야 되는데
128,@s.bvely_ 저 강아지 주인도 넣어서 돌려줘야지
129,@jo.o__ 와 ㅁㅊ ㅠㅠ
130,@wkdwnsduddl 🤬🤬🤬🤬🤬🤬🤬
131,@o_ye_eun
132,@gang_geee__ 사람맞냐...??미친거지.??
133,@parkriong__z 개빡쳐ㅡㅡ
134,@thegr8hyewon 욕좀해봐개빡치네진짜
135,@r_c9c9 ㅡㅡ
136,@kimrbtlr 와시바 욕나오네
137,@youbinniee
138,@chef.joon 여보!!!
139,@s.hun0222 앗
140,@heeyaaaaa46
141,@jjoooon__ 어카누!!!!
142,@_hammmny_90 그렇답니다..
143,@ssemi0710 @jang___thanks 내가 하리 무섭다고 티지랑 켜라고 했는대 이제 안되겠네
144,@xanxxun_
145,@chaemy_1126_
146,@rrr_e_na
147,@kim____kung 쿵아 이제 티비 그만봐
148,@marseoyoung
149,@628_124
150,@taeeun_in
151,@woe_neong_ ?!
152,@gmlwlsdl1357
153,@long_mommy
154,@ju_young0_2 불 끄고 가야하냐
155,@woo__._._ 위험하대아기 불다꺼
156,@s_ii_h 콩이 위험한거 아니야?
157,@yuri3780 헐..
158,@jangjun777
159,@hyeji_0407
160,@yu_kong0869
161,처방을 받은건 괜찮은거죠?
162,나랑 재미있게 놀고 싶지 않냐? 나중에 후회 하지마😘😋💋
163,@lovely._.yul_mom 스프레이 안되겠다
164,@um_tt
165,@god_kimchi_surf
166,@0three_th 나 이거 계속 뿌렸는데..
167,@hyoj_insta
168,@jonggyunw
169,@muru_lie
170,@h__o_zuun
171,@yja___papa
172,민감한사람아니믄 모르겠을정도니까 난 사야것다
173,@s2yunnn_ 헐 니 확인해봐방
174,@lumine_.65
175,@inuinunu 😭😭
176,@zzoormi 에?
177,@min_j56 민정아 레알...?
178,@suuuunhwa 진짜?
179,@imagine990106 큰일이야 이틀 뒤면 사전예약인데 @leesg.93 상근아 너꺼도 그럼?
180,@931130_gsgs 헐 나 번쩍거려
181,@u_ku_ku @5.18sy 문제 왜 이렇게 많노....
182,@moksha_94_
183,@yaanjukku
184,@2nar.rr ??
185,@0_gyu__1997 띠옹!?
186,@xi.youn
187,@salvadordxxali 쓰읍 ..^^
188,@ssooooya_
189,@0_gang 하하하
190,@m2_y0ung 잘확인해🙏🏾
191,@kimbackdo_0615 살수있나
192,@4z6_2 진짜~~??!??
193,@hana_le2 이게모야
194,@jeongalzary._.v 야 안사길 잘햇옹~~~
195,@l.j.wxxn__ 진짜이래?
196,와우 좋은정보감사합니다 👍👍
197,@jh_lee_liv @c.keon_hee 그날이 떠오르는 군
198,@youngmoonnam
199,@yamujin0 아직도 못먹음?
200,아니...@lhj3586
201,@loveyul_bongbong ㅋㅋㅋㅋㅋㅋ
202,@dockhh23 !!!! 먹자😆
203,@zisu9481 치킨사줘
204,@nanunyaganjong 아..안돼...윽
205,@junhyi8300
206,@jsung_._
207,@hwane_e__ !!!
208,@mcryugree 이거로 해랔ㅋㅋㅋㅋㅋㅋ
209,@hyejeong_pp
210,@yk_white_irene
211,아니 어디서 유출인거임..??
212,말 그대로 아이(eye)폰이네..
213,오 안돼.. 정말.. 아이폰.. 선 넘지마.. 아니 이건 미친거지..
214,환공포증은 밖에 나가기도 무섭겠네. .
215,선넘
216,@sy_kim11 아이폰 ㄹㅇ 버블티되는거 아니냐
217,@nge0220 @chaewon080628 음..... 이건 아닌듯....ㅋㅋㅋㅋ
218,@hy_07s 나랑 애플에 진지하게 편지보내자
219,@jiwoo.choi_ .....
220,@kwldjs_ @k_dmsdbf @choejeongeun_615 @ing07ong14 ㅈ...주사위 같애...
221,@lamerpourpre 지랄하지마
222,@secet_42
223,@byongbyong_2 애바
224,@wk_own 진심 저건 아닌듯 끔찍하다
225,@ssinz_999 @wjdssu ㅎㅏ... 안 돼...
226,@ramra_mi
227,@yb._.0810 에바 아잉교
228,@beomk_ 실화야?
229,@liebe_fratz 진짜 공포증 생길듯
230,@siha9984 살거야?
231,@zhou._.le 와..하하
232,@seung78694 이건 좀 ;
233,@dladvwls0110 아진짜 이번건 선넘네....
234,@jdhr__328 진짜든 가짜든 카메라가 몇개까지 늘어날지 궁금하다 ㅋㅋ
235,ㅋㅋㅋ강력하게신고를거부? 도대체뭔관계냐 ㅋㅋㅋㅋ
236,신고거부는왜?!..기절할만큼맞구..왜?!..;;
237,남자 포토라인 세우고 사형 시켜
238,한남이 또?
239,한국남자
240,제발... 니 보다 좀 쎈 사람한테 그렇게 해봐 엔초비새끼야ㅡㅡ
241,아니 딴 것도 에반데 폰으로 때리는 거 미친새끼 아녀? 그러고 얼굴 집중 가격;; 웫스
242,?
243,신상까야돼...신고거부는 보복이 두려워서일수도
244,먼저 선빵쳣네
245,폰으로 얼굴 집중해서 때렸는데 또 안때릴거라는 보장이 있나? 분명히 또 때린다 저사람은 .
246,@hoey.eon 이게 맞어?
247,@jooya_1005 개에바 ;;
248,@gyung_1.3h 도라이네ㅅㅂㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
249,@poo_rmi 이거봐
250,@2.161y 세상이어째돌아가노
251,@_yejin_ni 미래의 자취생들 방 잘고르쟈 빠샤🔥💛
252,@pwhpp.t 참고해
253,@ycny_
254,@chaeeeee0_ 호잇호잇
255,@agness.__.jii
256,@hy_xn
257,@studio_ruki 포유#
258,@intai182
259,@buvely_
260,@__k__s_h___ 이거하트좀
261,@jungin127 이거 아빠 좀 보여드려 한장치시는데 3일걸리시던데 ㅋㅋ..
262,@eun_ho_oooooooo 야 누가 하나하나 치냐는데?
263,@bpig0529
264,@guiyeopda_moollonnazz 넌 이게 필요할때가 오거던
265,@sumani_0901 요론방법잉
266,@jjjj_ungi 이거핵편함
267,@doo_ooong 이거어때 용용때....ㅎ
268,@kimchae3 이거 아예 파일로 추출도 할 수 있네?!
269,@duoubvv
270,@gustj_oo
271,@jieun6801
272,@rimskyeeo 쩐다
273,@kkykoko 👍🏻
274,@mooookeeeeeeee 세상이 너무 좋아졌어요..
275,@chan0_210 대댓좀
276,@msgstm2673
277,@queen_d_a_e_u_n
278,@o_ota_e 이걸루해바
279,@elly_kim11 오 뀰팁
280,@f0.shin
281,나도 커서 저렇게 남들에게 도움주며 살고 싶다
