,댓글
107,각선미 무엇 ㅋㅋㅋㅋㅋ
108,"@psunnh 가장이란??,,"
109,@eueu_hyeon 이거봐 미쳤어 개웃겨
110,각선미....😉👍👍👍👍👍👍
111,와 세상 이쁘다 ㅠ
112,👏👏👏🤗🤗
113,예..예쁘다...
114,@minwwkd99 다리예쁜것봐😂😂
115,헣 다음 워크맨 에뛰드에여???! 기대할게요
116,@sjh7666 @2songh2 아씤ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㄱㅇㄱ
117,@dang_413 나보다 핑크구두 잘 어울림
118,동석오빠랑 같이 해보시는 건 어떠신지.....😆😃
119,핑크 고무신ㅋㅋㅋ공주님 어서오세요
120,드디어 에뛰드를 !!!
121,와 다리 진짜 예쁘다
122,Pinkeu boy😂😂😂
123,@janni_o6 ㅋㅎㅋㅎㅎㅋㅎㅋㅎㅋㅎㅋㅎㅋㅎㅋㄹㅋㅎㅋㅎㅎㅋㅎㅋㅎㅋㅋㅋ
124,존버성공
125,다리가 나보다 예쁘네 ㅋㅋㅋㅋㅋ @eun_c___
126,@zamyeaeun 아 ㅁㅊ 이걸 놓쳤네
127,@luvi_hyun whyrano...
128,드디어 예뛰드 알바 하시네요 이쁘세요
129,각선미.??
130,잘어울리는데요? 핑꾸
131,🤣🤣🤣🤣🤣🤣ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
132,🙊omgah!!!!!!!🤣🤣🤣🤣🤣🤣
133,와 에뛰드 진짜로 가셨군요!! 얼른보고싶어요옹오옼
134,"@juun._.ii 진짜 넘 기대돼 ,,,, ㅋㅋㅋㅋㅋㅋ큐ㅠㅠ"
135,즐거워보이셔여
136,@dnqls0618 ㄹㅇ 에뛰드 했늠ㅋㅋㅋㅋㅋㅋㅋㅋㅌㅋㅋㅋㅇ
137,넘나찰떡....💕 #핑크공쥬🎀
138,결국ㅋㅋㅋㅋㅋ
139,오빠 각선미 미쳤다ㅋㅋㅋㅋㅋㅋ
140,@be99417 드뎌 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
141,종아리 왜 이쁜데...빡치게....
142,성규씨 🦵 넘 예뽕❤️👍🏻
143,@yeonji_10.29 드디어 에뛰드 했다
144,아름다우세요😍😍😍😍
145,거기 어디에요?
146,@howoo0000 미쳐땈ㅋㅋㅋㅋ앜 @a._.reumiii ㅠㅠㅠㅠㅠㅠ으앜
147,@jangsk83 오 마이 ~~~
148,그리고 다리 예쁘시네여❤️
149,@imrrrram 예쁘다
150,각선미가 걸그룹 뺨침💖
151,@yoonvernment ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ이거구나
152,혹시 이근대위는... 같은 그림 너무 이쁠거 같은데
153,세상에나...👏👏👏👏
154,개웃겨 진짴ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
155,ㅗㅜㅑ
156,다리만 잘라서 올렸으면 오해받았을....
157,@bright._.min 헐 이거 함ㅋㅋ
158,...
159,하하하하하하ㅏ하하ㅏㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ👍👍
160,오빠 지적인 개그맨 같아요 ㅎㅎ오늘도 웃고 가요
161,너무 이쁘시다.....
162,뷁장미🌹
163,ㅋㅋㅋ
164,@hyukoo1
165,@younchul_an 이렇게 무거운거였어?! ㅠㅠ
166,드...드디어!!!
167,ㅋㅋㅋ😅👍
168,👏👏
169,@chaeyeon0817 아 미친미친 드디어
170,@yu_rdi
171,@hj_uhfm
172,@m_bin_17 다리개이쁨ㅋㅋㅋㅋㅋㅋㅋㅋ
173,@01.11.15_zz 너무 좋아❤️
174,드.디.어
175,오와...!! 드디어
176,@__seongeun 앜ㅋㅋㅋ오빸ㅋ꙼̈ㅋ̆̎ㅋ꙼̈ㅋ̆̎.....
177,성규형🤣가장의 무게가 느껴집니당 ㅋㅋ
