,댓글
91,이거는 감찰 필요한 사항아닌가? 백프로 관리자.클럽 뒷돈 받았다 한달에 회원들 1000원씩만해도 얼마야 ㅡㅡ
92,외부인(지역주민)들 쓰라고 만든 공용 체육시설아닌가?!타지역에서 오지는 않을거 아닌가?
93,집값떨어진다~~~~~~~~~~~👏👏👏
94,동호회 ? 니미뽕이다.....
95,지들땅도 아니면서 지들것처럼 갑질이야 나이도 처먹을만큼 처먹은것들이. 웃기고있네
96,저것들 다른 사람 못쓰게 하고 지들끼리 이상한짓 하는것 같네~
97,공공시설을 사적으로 독점 이용. 공무원은 다 알면서 재대로 업무처리 안 함. 파면시켜야 함... 개쓰레기 공무원과 동호회
98,미쳤네??
99,도와준 인간들도 처벌해야지 저런걸 친구라고 도와주냐?
100,여자는 먼저헤어지자 하면 안되겠네...
101,남친이전과있는지어떻게알어..ㅎ ㄷㄷㄷ...
102,서로 서류로 먼저 인사하는 날이 다가오겠군요.
103,😡😡😡
104,머저리도 아니고 떠난 사랑한테 머하는짓이야
105,성벙죄자는 별도관리가 필요합니다. 전자발찌? 안차봐서 몰겠는데; 얼마나 효과가있을까요? 좋은대안이 없다면 차라리 팔찌로 바꾸시죠..ㅡ.ㅡ;
106,남자사귀기 무서워...여자사귀어야겠다
107,구질구질한 인간 ㅉㅉㅉ
108,여자는 늬들 소유가 아니에요 이 ㅅㄲ들아!!!!!!!!!!!!
109,@bird._.0 제주도
110,@xaxuem 아니 뭐야 요새 ㅡㅡ 말종들 왤케 많아
111,@_yunmin 어제 말한거 ...
112,Im coming to South Korea soon
113,@imwonjunk 수원에서 봤던애들 다 여기갔나바
114,그냥 맛있으면 되지 굳이 품종까지 따질필요가 있나?
115,"This country is really organized, I love it❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️"
116,💕💕💕💙💙💙😘😘😘😘
117,왜???? 왜 안빌려줘????? 왜????왜??????? 불이났는데?????왜?????주변상가 근처에 불이났다는데????왜 안빌려줘????왜?????????도대체 왜????????
118,대전사람들은 대충보면 어디인지 알텐데... 어딘지 몰라도 화단에 탄 흔적 보면 알수도 있고... 인근 상가 불매운동 생길텐데...
119,설마 .......... 소화기 다시 사야해서???
120,인근상가 불번지면 그때는 누구탓할려고 또 나라탓 하겠지😤😤😤😤 소화기 폼으로 두고있나🤬🤬🤬
121,왜 안 빌려주지.?!
122,소화기를 인테리어 소품 정도로 생각하는 건가? 불이 난 곳에 사용하겠다는데 뭐가 그렇게 아까웠던 걸까? 정말 한숨만 안나온다 😡
123,아니 진짜 사람들이 왜그러냐 반대로 집에 불나서 소화기 안빌려주면 그느낌 알려나 사람들이 구경만하면 알려나 😡🤬
124,소방서에서 저 청년 상줘야하는거 아닌가!!!!!💯💯💯💯💯❤️
