,댓글
125,학점도높은사람이 스펙도좋음
126,3.75 정도
127,3.7이 딱 4.0일걸요?
128,우리과에 4점 넘는사람 적어서 말하기 좀 그런데 건축건공사기반 중 하나임
129,사기반은 백퍼아님
130,오 그래??? 나 변환 3.5인데 이거 유지하고 다른거 준비할까?
131,"컴공 기준으로는 3.5 넘으면 플젝, 인턴, 코테, CS가 전부임"
132,오호 그럼 다른거 더 준비할게 고맙~~
133,인포21인데 국캠은 먼저 나온곳 아직 없더랑
134,블라인드 가입하려면 직장 인증해야하던데 어떻게 가입하셨나요?
135,IT 진짜 공부하기 힘든데....그게 제일 잘나가 ㅠㅠ
136,과연 나는 이렇게 될 수 있을까... 컴공인데 이제 겨우 프로젝트 하나 굴리는 수준인데ㅠㅠㅠㅠ
137,저건 좀 걸러서 들을 필요가 있음. it직군이라고 무조건 연봉이 높은 게 아니라 능력도 그만큼 따라 줘야지 연봉이 높음. 경험상 30초에 월1억 받을 정도의 능력자는 우리 학교엔 100명 중 한두명 정도 있는 거 같음
138,전 지금 직장인이에요. 근데 가입 안 해도 웹으로 볼 수 있어요
139,그렇군요 예전에 핸드폰 어플로 해봤었나? 했는데 직장인증때문에 삭제했던 기억이 있어서요ㅠ.ㅠ 웹으로 해봐야겠네요
140,"그건 어떤 직무든 당연한거고 비교는 상대적이어야 맞는 말이지. 대기업 It 직무와 다른 직무 티오, 연봉 비교만 해봐도 나오는 건데"
141,월 1억은 오타임?
142,아 월 1억은 오타임 연 1억임
143,그리고 경험상 같은 대기업끼리 비교했을 때 it직군이라고 월급 차이 심하진 않았는데...
144,어디길래? 일단 It 대기업은 비개발직군 들어가기 넘사로 빡센데 연봉 및 대우 개발직군이 훨씬 좋고
145,제조는 메인 기술직군 연봉이랑 개발 직군이랑 차이 안 나지만 일반 문과 직렬들이랑 비교하면 기술직군이 전반적으로 높지
146,평균적으로 생각해보면 티오에 비해 훨씬 잘 받는거. 내가 기획->개발로 이직한 케이스임
147,내가 기술직군이라 그런 거 같음 기술직군이랑 it직군은 차이 크게 안 남
148,ㅇㅇㅇ 난 학부때 전화기 대기업 가면 잘 받을거 같단 생각은 있었는데 IT는 그런 인식이 없었음. 최근 연봉도 많이 오르고 어떤 기술 베이스 기업이든 뽑는거 보면 요즘 개발자하기 좋은 시기인듯 함
149,뭐든 조직적인게 목소리 키우는데 이득인듯 성별불문 ㅇㅇ 노조같이
150,근데 남자들은 그런게 잘 안되는거 같더라
151,꼬수면 가서 시위해> 정작 남자들은 귀찮아서 시위까지 하러갈 생각은 없음
152,인터넷 똥글중에 그런거있잖아 남자는 맞아도 태클걸고 여자는 틀려도 공감한다고
153,성별 특성인거 되게 신기하지않나 (비하의도 아님) 남자도 일부 가부장 극진주의라면 있을까 싶네
154,무산 단결이야 ㅋㅋㅋ 남자는 묵묵히 그냥 살아가는거지.. 몇몇 기집애들이나 징징대는거고
155,필요성을 느끼지 못한다는 점에서 살만하다는 거겠지
156,난 근데 역사를 보면 항상 여성은 연대를 잘 하는데 남성은 개인적으로 알아서 힘을 쌓고 해와서...... 정말 단결해야 하는지 모르겠어.
157,솔직히 난..... 시위고 뭐고 그냥 투표만 하고 싶은데
158,이게 다 PC주의가 사회를 이렇게 불편하게 만들었어
