,댓글
122,이런건 뉴스에도 별로안나오고..신문에도 작게나오긋지.. 이런걸 대서특필하고 신문 1면 부터 다 장식해야하는건데!!ㅠ
123,항상 응원합니다 💙💙💙💙💙
124,믿을 사람은 오직 문재인 대통령님뿐💙💙 건강하세요!
125,"👏🏻👏🏻👏🏻
수고하셨습니다 대통령님!!
감사합니다~ 건강하셔야합니다🙏🏻🦋"
126,우리 문프 응원해😂
127,👍고맙습니다💙💙💙건강하세요🙏
128,💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙
129,💙
130,항상 웃으셨으면 좋겠습니다.존경합니다.😍
131,건강하세요 대통령님💙💙💙💙💙💙💙💙💙💙
132,자랑스러운 우리 대통령님 지지하고 응원합니다
133,세계적 현안 대응과 다자 협력에 앞장서는 대한민국 정부와 대통령님💙 국민의 한사람으로서 자랑스럽습니다. 늘 응원 보냅니다💙💙💙💙
134,수고많으십니다🙏🌹🌹
135,"믿습니다, 건강하세요😄🙏"
136,훠훠훠
137,오래오래 역사에 남으실 우리 대통령님. 늘 응원하고 지지합니다. 건강하세요💙
138,존경합니다 💜💜💜
139,응원하고 지지합니다~💙💙💙💙💙
140,대통령님 존경합니다 힘내세요💙💙💙
141,💙💙💙💙💙 문재인 대통령님 덕분에 대한민국의 미래가 밝습니다💙💙💙
142,"MANTEP ADA BAPAK JOKOWI, SETIDAKNYA KELIHATAN ADA INDONESIA DI SANA😭"
143,힘내세요 💙💙💙💙💙
144,대통령님 항상 건강하세요~💕💕
145,최고!!!!!!!!!!!💙💙💙💙💙
146,😍😍😍😍😍😍😍화이팅!!!!그리고 건강하세요~~~
147,👍👍👍👍👍
148,멋집니다. 항상 응원합니다 💙💙💙💙💙
149,한 아세안 회의에 대해서도 국내 언론에서 많은 관심이 좀 있었음 좋겠네요. 팬데믹 상황에서도 열심히 일해주시는데 보도가 너무 적어서 아쉬워요.
150,항상 응원합니다! 건강하세요❤️
151,언제나 응원합니다 늘 건강하시고 힘내세요~ 파이팅입니다
152,감사합니다.그리고존경합니다.대한민국이자랑스럽습니다👏👏대한민국화이팅🔥🔥❤️대통령님화이팅❤️❤️❤️❤️
153,항상 응원합니다. 👏👏👏👏👏
154,❤️❤️❤️
155,🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷
156,💙💙💙💙💙💙💙💙💙💙
157,날씨가 추워지네요~감기조심하세요!!
158,Love you Pakistan and south korea
159,대통령님 존경합니다 항상 건강하세요❤️
160,💙💙💙💙💙
161,세계 리더 문재인 대통령님 항상 응원합니다 건강하세요 사랑합니다💙
162,aku mencintai salah satu rakyatmu appa💜
163,항상 건강하세요!!💙💙💙💙💙💙💙
164,대통령님 최고입니다.
165,💙💙💙💙💙💪
166,"대통령님, 건강하세요 항상 감사합니다!💙"
167,💙💙💙💙💙💙💙
168,새로운 시대에 주인공 국가가 되는 디딤돌이 되길 기원합니다. 감사합니다. 😍
169,건강하세요💙💙💙💙💙💙💙
170,💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙
171,💙
172,늘 응원합니다💙💙 건강하세요.
173,"외교의 신!👍🏼😍
사랑합니다,대통령님!!!💙💙💙항상 건강하십시오!!!🙏🏼🙏🏼🙏🏼"
174,건강하세요~~항상 응원합니다^^👍👍👍
175,🥺🖤🖤🖤
176,대통령님 건강 잘 챙기세요 사랑합니다.💙
177,대통령님의 웃는얼굴이 넘 좋습니다. 감사합니다
178,❤️such a nice pm
179,❤️❤️❤️❤️👍👍👍👍
180,항상 응원합니다...힘내세요👍👍👍
181,💛
182,항상 응원합니다.건강 잘 챙기세요^^
183,❤️❤️대통령님 존경합니다 💙💙
184,나라을위해힘쓰시는대통령님항상감사합니다힘내시고미약하지만열심히응원하겠습니다 건강하십시요❤️❤️❤️
185,이문덕💙💙💙
186,너무 고생많으셨습니다👏👏👏👏👏👏👏
187,👏👏👏👏👏👏👏👏👏👍
188,너무 멋져요!! 💙💙
189,감사하고 또 존경드립니다~^^♡♡♡
190,건강하세요~😍🤩
191,@yeonwoochoi_________
192,👏🏼👏🏼👏🏼👏🏼💙💙💙💙💙
193,문재인 대통령님 감사하고 존경합니다. 건강하세요. 사랑해요💙💙💙
194,💙💙💙💙💙
195,건강 조심하세요 😍😍😍
196,@lhe_bak
197,이것이 나라다💙💙우리 대통령님 최고👍👍
198,👍👍👍 국민에 한사람으로서 .. 자부심을 느낍니다 ^^ 😁😁😁
199,대통령님 사랑합니다. 건강하세요!💙💙💙
200,문재인대통령님 항상 응원합니다
201,💙💙💙💙💙
202,건강하세요 대통령님 💙
203,멋지십니다👍👍👍👍👍👍👍👍
204,💙💜
205,💙💙👏🏻👏🏻👏🏻👍🏻👍🏻👍🏻😍😍😍💕💕❤️❤️❤️
206,힘내세요💙💙💙💙💙
207,😍🙌👏최곱니다 우리대통령님
208,항상 건강하세요
209,@quanghuytrandinh
210,문프의 웃는사진에 하루 피로가 사라지네요~😍
211,대통령님 항상 감사하고 사랑합니다💙 건강 꼭 챙겨셔야합니다!!!
212,❤️
213,🔥👏👍
214,대통령님 항상 응원 합니다 건강하세요💕
215,응원합니다 역시 문프👏👏👏👏👏👏👏
216,👍👍👍👍
217,최고에요. 💙💙💙💙 사랑하는 우리 대통령님 건강하시고 늘 자랑스럽습니다🙏💙💙💙💙💙💙
218,항상 지지합니다 ~!!. 건강하십시오~🙏
219,👏👏👏👏👏👏
220,💙💙💙💙💙💙💙💙💙💙
221,"항상 변함 없이 응원 합니다.
각별히 건강에 신경 써 주시면 감사 하겠습니다. 건강하세요. 👍"
222,💙💙💙💙💙💙
223,🙌🙌🙌
224,😎👍
225,여기 뭐 북한 모란 공연단이냐 댓글 꼬라지가 ㅋㅋㅋㅋㅋㅋ 부동산 좀 어케 해봐 서민들 다 죽겠네
226,대통령님 존경합니다💙💙💙💙💙
227,문재인 대통령님 사랑해요 💙🌙
228,💙💙💙
229,건강하세요 😍
230,대통령님 건강하세요
231,사랑합니다 대통령님 건강하세여🙏🏻💙👍🏻
232,💙💙💙👏👏👏
233,우리 대통령님 만세!사랑합니다.존경합니다.영원히 응원 합니다💙💙💙💙💙💙💙💙💙💙😍😍😍😍😍😍😍😍😍😍
234,❤️❤️❤️항상 응원합니다!!
235,당신도 계약직 대통령입니다. 정의와 약자에게 힘을 보태주세요.
236,멋지십니다.
237,👏👏👏🙏🙏🙏👍👍👍❤❤❤
238,힘내세요🙏🏻🙏🏻🙏🏻 최고의 대통령님💚💚💚 건강하시고 싸랑합니다👏👏👏👏
239,💙💙💙💙💙💙💙
240,감사합니다 수고하셨어요 👏
241,대통령님 매일 감사합니다.^-^
242,건강챙기시고 힘내세요 항상 응원합니다
243,힘든시기에 고생하십니다. 국민을 위한 노고에 늘 지지와 응원드립니다. 시간이 지나야 얼마나 많은 일을 하시고..계신건지 국민이 알아줄겁니다. 건강하세요!^♥^
244,💙💙💙💙💙💙💙
245,힘내세요~ 우리국민들이 있잖아요~ 홧팅^^♡
246,💙💙💙💙💙💙💙💙
247,❤️❤️
248,@chun_pal_2 💙💙💙💙
249,💙💙💙💙💙
250,👏👏👏💙💙💙
251,대통령님 화이팅!!!! 사랑합니다❤️❤️❤️
252,대통령님 항상 응원합니다 👍❤️😘
253,힘내세요~ 응원합니다~!!!👍
254,멋집니다!!!
255,❤️
256,건강건강 무엇보다 건강하세요 👍👍👍
257,"대통령님, 감사합니다. 늘 지지합니다. 힘내세요!💙💙💙💙💙"
258,💙
259,건강도 챙기시길바래요~~~~
260,감사합니다💙💙건강 잘 챙기시길요🙏
261,🇰🇷🇹🇷🇰🇷🇹🇷
262,😍😍😍😍😍😍
263,💋💋💋🇰🇷🇰🇷🇹🇷💋🇹🇷💋🇹🇷💋🇹🇷💋🇰🇷💋🇰🇷💋🇰🇷💋🇰🇷💋🇰🇷💋🇰🇷💋🇰🇷💋🇰🇷💋🇰🇷💋🇰🇷💋🇰🇷💋🇰🇷💋🇰🇷💋🇰🇷💋🇹🇷
264,🇹🇷🇰🇷🇹🇷🇰🇷🇹🇷🇰🇷
265,경제가 발전되기를 기대합니다..
266,🇹🇷🇰🇷🇹🇷🇰🇷🇹🇷🇰🇷🇹🇷🇰🇷🇹🇷🇰🇷🇹🇷🇰🇷🇹🇷🇰🇷🇹🇷🇰🇷🇹🇷🇹🇷🇹🇷🇰🇷🇹🇷❤🇰🇷🇹🇷🇰🇷🇹🇷🇹🇷🇰🇷🇰🇷🇹🇷🇰🇷🇹🇷🇰🇷🇹🇷🇰🇷🇰🇷🇰🇷
267,💙💙💙💙💙💙💙💙💙💙
268,👍😊🙆‍♂️🍀🍀🍀건강하게 잘 보내세요 화이팅 입니다 👍👏👏👏😊
269,😍😍😍😍😍😍😍
270,🇰🇷🇹🇷🇰🇷🇹🇷🇹🇷
271,🇹🇷🇰🇷🇰🇷🇹🇷🇰🇷🇰🇷🇰🇷
272,대통령님~~^^항상 응원합니당~💙💙💙
273,자랑스럽습니다 문 대통령님💙 언제나 응원하고있고 항상 감사합니다. 힘내세요!
274,💙
275,❤️
276,👏👏👏💙💙💙👍👍👍👍👍👍👍
277,💙💙💙💙💙💙💙💙💙💙💙💙💙💙
278,사랑합니다 💙💙💙💙💙💙
279,건강 조심하시고 무리 하지마세요❤️❤️
280,I can only pray and hope that the world economy will get better and give a positive impact to all the people of the world ..😊💜💪💪💪
281,건강 잘 챙기시기를 바랍니다
282,건강도 챙겨가며 일해주세요 존경합니다 대통령님👍👍💙💙💙
283,사랑합니다 건강하세요💙
284,💙👍👏
285,"사랑합니다❤️❤️❤️
우리대통령님이최고여라👍👍👍"
286,💙💙💙💙💙
287,항상 응원합니다 감사합니다
288,💙존경하는 문재인 대통령님 감사합니다. 대한민국이 점점 승승장구하는 것 같아 행복합니다. 우리가 이렇게 어려운 시기를 잘 갈 수 있는 모든 원동력은 문재인 대통령님 덕분입니다.
289,항상 건강하세요💙💙💙💙💙💙💙💙💙💙💙
290,@happy_jinzzang 대통령님 응원합니다!!
291,각하! 건강하시길!!
292,대통령님 힘내세요 건강하세요💙
293,존경하는 대통령님! 건강하시고 행복하세요. 영원히 지지하고 응원합니다~♡
294,👍👍👍
295,"Yaampun papa moon, pick up saya ke korea pak😭😍😍😍"
296,❤️
297,건강하십시요
298,대통령 건강하시고 힘내세요
299,😮
300,사랑합니다. 늘 믿고 지지합니다
301,Malaysia 🇲🇾🇲🇾🇲🇾
302,💙💙💙💞💞💞
303,👍
304,@h.a.n.s.c.h.o.i 집값 잡아주신대!!
305,I Love Korea ❤️
306,늘 옳으신 대통령님💙💙💙💙 건강하세요💙💙💙💙
307,넘 기뻐요 👏
308,언제나 응원하고 감사합니다. 건강하세요^^♥♥♥
309,👏
310,나의 소중한 대통령님! 지지합니다
311,💙
312,👍👍
313,💙💙💙💙💙
314,👍👍👍👍👍최고 최고 이십니다 항상 건강하십시오~존경합니다 ~💯💯💯💗
315,건강하세요 존경합니다 💙💙💙
316,💙💙💙💙💙💙💙 이런 멋진 FTA 체결을 해낸 문재인 정부 최고에요!
317,건강하세요😙
318,너무 고생 많으십니다. 항상 감사드립니다💙
319,좋은 소식에 힘이 납니다. 대통령님의 노고에 감사드립니다 💙
320,👍
321,💙💙💙💙💙💙💙
322,💙👍😘
323,너무나 멋지십니다. 👍👍👍
324,❤️❤️❤️❤️❤️
325,A man👍👍👍
326,수고가많으십니다. 존경하는 문재인대통령님 사랑합니다 💜 힘내세요
327,자랑스럽습니다 🌿
328,사랑합니다 항상 응원합니다💙
329,항상응원합니다❤️❤️❤️
330,💙💙💙💙💙💙💙
331,집값 전세값 대책 안세웁니까???????
332,대통령님 건강챙기셔요 고맙습니다👏❤️
333,💙
334,첫짤 합성아님??
335,이문덕 🙏🏻❤️
336,항상 응원하고 있어요💙💙💙💙💙
337,💙💙💙
338,💙💙💙💙💙💙💙
339,다들 비슷한 경험을 하실겁니다 오작동 화재감지기 덕에 스프링클러 연동 차단하고(화재시 스프링클러 50%가 작동 안함 꺼놓음) 사이렌 소리를 듣고 1분내 밖으로 건물 밖으로 나오지 못하면 계단이 화염 연기와 유독가스로 꽉 채워질수있습니다 연기와 유독가스는 다릅니다 유독가스는 손수건으로 막을수있는게 아닙니다 앞도 안보입니다 살아도 연기로 호흡기가 망가져 고통스럽습니다 화염 연기와 유독가스 확산은 못막는게 아니라 안막는겁니다 이유는 뭘까요 소관타령 법타령 모른척 무관심 덕분입니다 설마 소방청 통계로 매일 발생하는 화재 117건이 나에게? 나의 가족에게? 최대 희생자는 현장 소방관분들입니다 #소방관 여러분들이 화염 연기와 유독가스에 노출되는게 당연한게 아닙니다
340,건강하세요!!!늘 응원합니다😍
341,사랑합니다~건강하세요❤️
342,👍👍👍👍👍👍
343,감사합니다 ㅠㅠ 항상 💙💙💙💙💙
344,🤩🤩🤩👍👍
345,사랑합니다~💙👍🏽💙👍🏽
346,💙👍💙👍 수고하셨습니다 👍💙👍💙
347,대통령님 건강하세요 응원합니다💙
348,언제나 존경합니다. 👏👏😍
349,항상 건강하세요♥️♥️
350,❤️
351,🙌
352,🇧🇳🙏😍❤️😘하나님의 축복이 있기를 사장님😘❤️😍🙏🇧🇳
353,💙힘내세요💙
354,👏👏👏
355,건강하세요💙
356,다자주의 외교를 선도하는 문재인정부 최고입니다!! 👍
