,댓글
133,💙 대한민국 문재인 대통령님 감사합니다. 든든한 우리 나라. 멋진 우리나라 ~~
134,❤️❤️ 대통령님 존경합니다 💙💙 유명희 본부장님 파이팅 💕
135,💙💙💙💙💙💙💙💙💙든든해요
136,애쓰셨어요. 끝까지 응원하고 지지합니다.
137,멋집니다!!! 👏👏👏👏👏
138,👏👏👏👏👏
139,꺄아아아💙💙💙
140,수고하셨습니다..길고 긴 시간동안 끌던 아세안자유무역 마침내 마침표를 찍으셨군요. 수고 하셨습니다. 유영희 통상본부장님도..수고하셨고... 감사합니다.
141,아시아의 선두에 대한민국이 있습니다. 응원합니다.
142,👏👏👏
143,"든든합니다, 💙💙💙 끝까지 지지합니다. 하나도 힘 안듭니다! 열심히 신나게 일하고 있습니다 #이문덕"
144,최고최고 👍🏻👍🏻👍🏻👍🏻
145,응원하고 지지합니다 👍👍👏👏💙💙💙💙
146,항상 응원합니다!👍👍👍💙💙💙
147,문프님 쵝오예요 대통령님 사랑합니다 힘내세요 화이팅 응원합니다👍💚
148,💙💙💙
149,이문덕👏👏👏
150,대통령님~~~사랑하고 존경합니다😍🙆‍♀️🙆‍♀️🙆‍♀️🙇‍♀️🙇‍♀️🙇‍♀️💙💙💙💙💙
151,좋은 일들이 가득하길 소망합니다.
152,대통령님 건강하세요!👍
153,#문재인대통령님존경합니다
154,화이팅 하세요.
155,응원합니다 🙏👍👏👏👏
156,👏👏👏👏
157,우리대통령님 최고😍💙👍 우리나라최고👏👏
158,항상 응원합니다 💙💙💙💙💙💙💙💙💙
159,대통령님 존경합니다. 대한민국의 대통령님 이셔셔 행복합니다.
160,응원합니다👍❤️
161,👏👏😍👍
162,❤️❤️❤️
163,👏👏👏👍👍👍👍👍💙💙💙💙
164,항상 응원합니다😄😄
165,👍👍👍👏👏👏👏👏
166,👏👏👏👏👏😍😍
167,Wow ..... LIT!💯
168,든든한 문재인정부😊👍💙💙💙
169,이문덕💙💙💙💙👍
170,우리정부화이팅💙💙💙
171,👍👍👍
172,항상 응원합니다 👏💙💙💙
173,역시는 역시💙 감사합니다💙
174,💙👍🏻
175,대통령님 고생 많으셨습니다
176,👍👍👍👍
177,👍👍👍👍👍👍👍
178,대통령님 항상 응원하고 지지합니다💙
179,👏👏👏👍🔥❤️
180,👏👏👏👏👏❤️❤️❤️❤️❤️
181,항상 감사합니다😊😊👍
182,💙💙💙💙
183,💙💙💙💙💙💙💙💙💙
184,💙💙💙💙존경합니다!
185,💙💙💙💙👏👏👏👏
186,👏👏고맙습니다^^감사합니다 ^^ 👏👏
187,대통령님 감사합니다 💙💙💙
188,멋지십니다~ 대통령님^^
189,👏👏👏 👏👏
190,👍👍👍
191,왜 이런 좋은 뉴스는 국내 언론에서 잘 안보이는지. 대통령님 힘내세요.
192,💙💙💙💙💙💙💙
193,#문재인정부를지지합니다
194,👏👏👏👏👏
195,💙💙👏🏻👏🏻👏🏻👍🏻👍🏻👍🏻
196,존경 합니다^^ 수고 하셨습니다^^감사 합니다 ^^ 👏👏👏👍👍👍
197,🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷
198,문재인정부와 대통령님을 끝까지 응원합니다 ❤️❤️❤️❤️
199,변화하는 화하는ㅁ든 환경에 총체적인 주도적인 역할을 하여야 함이 마땅.
200,감사합니다.
201,🙋🏻‍♀️
202,수고하셨습니다 건강하세요
203,대통령님 끝까지 응원합니다 건강하세요~
204,❤️ 대통령님이 계셔서 넘~~~ 든든합니다
205,RCEP 응원합니다 세계최대 FTA탄생 파이팅 👏👏
206,👍👍👍👍우리 대통령 최고😍😍
207,공격적x => 화합o 🤲
208,화재는 원인 조사를 통한 예방이 최선입니다 그래도 소방청 통계로 매일 발생하는 화재 117건 속에 오늘도 누군가는 돌아가십니다 화재 발생시 화재가 발생한 세대(방화구획)에 난로처럼 화염 연기와 유독가스를 가두는겁니다 현관 문틈으로 배관틈새로 배관속으로 건물 틈새를 통해 순식간에 계단을 화염 연기와 유독가스로 꽉채우고 이웃집도 그 틈새로 연통으로 순식간에 사방으로 확산되는걸 못막는게 아니라 안막는겁니다 ㅠ 우리집 화재로 인한 아파트 전체 화재 피해는 우리집 책임입니다 다른 집 새벽 화재는 우리 가족이 질식사합니다 틈새밀폐재인 방화재(Firestop)기준이 엉터리 짝퉁 국토교통부 내화충전구조용 방화제 기준 덕분에 오히려 인명살상용 시안화수소(유독가스)와 화염 연기와 유독가스를 마구 내뿜고 있습니다 눈으로 보고도 ㅠ 설마 ㅎㅎ 살인자를 방에 가두고 도망가실래요 문열어 놓고 술래잡기 하실래요
209,서민들 등골빠진다..
210,공과금낼돈도 없어 힘이든시국입니다..제발민생에 신경좀써주세요.
211,"The people vs Yoon,sukyeol"
212,나도문재인대통령지지하지만 나라꼴이말이아니잖아요
213,👍🏻👍🏻👍🏻 👏🏻👏🏻👏🏻 🙏🏻🙏🏻🙏🏻 💙💙💙 🇰🇷🇰🇷🇰🇷
214,"언제나 다른나라들의 동참을 권유하시며 ""같이 함께"" 정신을 구현하시는 멋진 대통령님, 힘이 납니다."
215,우와 우리 이니💙💙💙💙 코로나를 겪고 보니 이니가 지도자인 대한민국이 가장 상식적이고 정상적인 나라였다 결론은 이문덕💙💙💙
216,늘 수고해주셔서 감사합니다 👏👏💙
217,닭때와는 비교되는 행보입니다.❤️
218,대통령님 항상 건강해주세요 누가머라든 신경쓰지마세요 우리 깨시민이 뒷배입니다
219,문재인 대통령님 화재시 반복되는 연기와 유독가스에 의한 질식사가 전체 사망자의 70%를 차지합니다 전체 사망자의 10%는 장애인분들입니다 한국은 현장 소방관분들이 목숨을 걸고 사명감으로 두려움을 극복하고 연기와 유독가스속에 몸을 던집니다 화재시 반복되는 연기와 유독가스에 의한 질식사 못막는게 아니라 안막는겁니다 화재시 화염 연기와 유독가스는 화재가 발생한 세대(방화구획)에 난로처럼 가두는겁니다 선진국은 다하는걸 선진기준을 잘못 베겨서 만든 엉터리 짝퉁 국토교통부 내화충전구조용 방화제 기준 덕분에 노답입니다 문재인 대통령님께서 말씀하신 소방관 분들 평균 수명과 폐암 사망율은 충격적입니다 말뿐인 살아서 돌아오십시요😢 화재시 화염 연기와 유독가스가 줄줄새는 건물 틈새와 배관틈새로 배관속으로 냉난방비(탄소배출)도 층간소음 벽체 소음도 줄줄 섑니다 그린 뉴딜 ㅠ
220,대통령님 존경합니다💙💙💙💙💙
221,다들 비슷한 경험을 하실겁니다 오작동 화재감지기 덕에 스프링클러 연동 차단하고(화재시 스프링클러 50%가 작동 안함 꺼놓음) 사이렌 소리를 듣고 1분내 밖으로 건물 밖으로 나오지 못하면 계단이 화염 연기와 유독가스로 꽉 채워질수있습니다 연기와 유독가스는 다릅니다 유독가스는 손수건으로 막을수있는게 아닙니다 앞도 안보입니다 살아도 연기로 호흡기가 망가져 고통스럽습니다 화염 연기와 유독가스 확산은 못막는게 아니라 안막는겁니다 이유는 뭘까요 소관타령 법타령 모른척 무관심 덕분입니다 설마 소방청 통계로 매일 발생하는 화재 117건이 나에게? 나의 가족에게? 최대 희생자는 현장 소방관분들입니다 #소방관 여러분들이 화염 연기와 유독가스에 노출되는게 당연한게 아닙니다
222,역내 포괄적 경제동반자 협정 아세안10개국 파이팅 💙
223,"유명희씨 잘합시다.
노통이 애써 만든 반기문 처럼 사람 뒤통수 거하게 치는 그런 사람 되지 마시고."
224,나라를 일으켜세우면 국민의짐일당들이 나라를 다 팔아먹구 우리나라는 국민의짐만 없으면 세계최강국가
225,기레기들 이런거 좀 기사 써주지...대통령님 항상 응원합니다!!!💙💙💙💙💙💙
226,"One question because in the gallery on the tablets and what is on the Samsung phone when you download images then the option to open a pop-up window for the videos then disappears, do you understand what I'm saying or not? When you download images that option disappears that option should always be"
227,👏👏👏 😢😢😢😢하지만 국민은죽어요 경찰의 고소장 손괴를 뇌물수수도 300만원 허위의 수사기록도 계속 재탕으로 이어지고 있습니다 국민은죽어요 경찰의 고소장 손괴를 뇌물수수도 300만원 허위의 수사기록도 계속 재탕으로 이어지고 있습니다 이병재올림. 010. 4720. 6279
228,추미애씨는 몰상식하고 막무가내식 억지 주장에 국민의뜻이라는 어처구니없는 소리 그만좀 해라..모든국민은 당신뜻과 반대인것을 알아주길 바란다..교만한 추미애는 반성해야한다
229,대한민국 청와대 @umtaeuk13 많은관심부탁드립니다
