,댓글
77,@lluesye ㅋㅋㅋㅋㅋ하... 왤케 웃긴지 너랑 같이 추고싶어서 딱 생각남ㅜㅠㅜ
78,@a_xian98 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
79,@the_young_q ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 웃겨
80,@dahye.da ㅈㄴ잘해~
81,@hyupss_
82,@_chopd 블랙핑크 무대에 가능?
83,@whitezziiiii
84,@laeh1201 ㅋㅋㅋ미침ㅋㅋㅋㅋ케
85,@sweet_r_rain ㅁㅊㅋㅋㅋ캐
86,@cl._.sebari 흡사 강민수랑 나 아니냐고
87,@yevlyx 중간에 심지어 노래도부름
88,@turu_young @dan_jinnnn ㅋㅋㅋㅋ저런 당당함!!!
89,@yoong2w
90,@ahhhhhhyun
91,@zlh1ni
92,@yeseo.yoo
93,@candlethemarret
94,@kang868686
95,@saynacho617 @hanna_cho_yujng_cho
96,@dayun_02_12
97,@cool_kids_never_d_i_e
98,@chaemin_0615 ㅌㅋㅌㅌㅋㅌㅌㅌ
99,@zootopia._.24 상큼함이 톡톡 이부분 킬포
100,@g._.bnn03 ㅅ ㅋㅋㅌㅌㅋㅂ ㅋㅌㅌㅋㅋㅋㅋㅋㅋㅋ
101,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
102,@min_jini_qwe 아무리봐도 병따갠데
103,@jjimmi__jm ටㅏ 이상형 우리액희(于里液喜) 개귀여어(凱歸蠡魚) 하고풍거(河鼓風去) 삭다해라(削多海蘿) 매일이론(每日理論) 덕후마음(德厚馬音) 주접이라(主楪伊亽) 할지라도(轄地羅道) 내가알게(來駕謁揭) 모야시발(暮夜始發) 좌로인정(左虜人正) 우로인정(右虜人正) 압구루기(狎鷗漏器) 대굴대굴(大窟大窟)
